Manager,Fund,1,2,3,4,5
30000000000000021146,004640,386.67 ,201.29 ,211.25 ,414.69 ,707.82 
30000000000000022071,004642,10.96 ,11.99 ,21.64 ,176.95 ,225.12 
30381160,004685,78.49 ,87.06 ,138.38 ,268.82 ,500.32 
30000000000000206392,004702,40.74 ,31.26 ,102.84 ,507.19 ,1328.24 
30382125,004730,189.64 ,86.35 ,84.21 ,85.07 ,83.22 
30378692,004868,331.47 ,128.89 ,327.22 ,738.55 ,2386.19 
30000000000000016862,004877,677.02 ,234.37 ,151.04 ,327.87 ,1073.96 
30378825,004888,542.93 ,165.50 ,63.20 ,133.28 ,28.93 
30243537,004936,13.42 ,2.93 ,2.51 ,2.87 ,1.29 
30000000000000036697,004958,1057.90 ,439.44 ,253.62 ,1308.76 ,3776.00 
30000000000000021635,005028,954.40 ,539.79 ,262.95 ,2618.10 ,1557.04 
30381532,005055,4685.22 ,2229.34 ,1513.00 ,355.95 ,252.37 
30381649,005055,4685.22 ,2229.34 ,1513.00 ,355.95 ,252.37 
30000000000000022104,005059,221.24 ,90.48 ,328.13 ,795.11 ,632.96 
30382872,005082,10.76 ,0.00 ,0.01 ,24.21 ,0.11 
30378264,005109,220.54 ,148.46 ,277.45 ,337.60 ,310.21 
30000000000000016591,005231,66.15 ,40.84 ,23.28 ,72.44 ,33.03 
30380233,005233,267.15 ,155.30 ,174.89 ,736.88 ,1993.95 
30000000000000023262,005237,27.81 ,16.72 ,21.41 ,38.41 ,35.86 
30000000000000023262,005260,12.10 ,8.60 ,460.61 ,668.56 ,33.16 
30381532,005269,227.58 ,112.90 ,76.12 ,71.57 ,35.78 
30000000000000027911,005270,300.08 ,149.06 ,142.49 ,233.96 ,216.33 
30000000000000021313,040005,2467.45 ,1848.46 ,3528.31 ,2886.91 ,3711.20 
30000000000000017177,040015,257.62 ,170.94 ,249.21 ,301.68 ,1708.43 
30000000000000016012,050002,5665.52 ,5408.10 ,6337.74 ,5747.50 ,4931.04 
30000000000000015975,050018,381.03 ,240.34 ,230.24 ,234.14 ,268.29 
30000000000000022086,070099,2201.46 ,1754.13 ,2260.96 ,3021.91 ,2201.58 
30243576,090001,2342.73 ,1686.38 ,1762.81 ,1908.30 ,1864.81 
30000000000000015009,090001,2342.73 ,1686.38 ,1762.81 ,1908.30 ,1864.81 
30000000000000015054,090004,1767.47 ,1112.46 ,1333.24 ,1547.23 ,1283.80 
