Manager,NAME,Fund,CategoryID,Firm,Return,Year,age,size,dc
30000000000000016774,郑慧莲,004436.OF,4,汇添富基金,0.045779955,1,5.054794521,309.1,0.023077 
30378829,黄华,004442.OF,4,中欧基金,0.029614912,1,5.742465753,792.88,0.264336 
30378899,黄瑞庆,004495.OF,4,博时基金,-0.103773585,1,5.663013699,52.16,0.264336 
30000000000000021919,林乐峰,001667.OF,4,南方基金,-0.010151293,1,5.046575342,293.29,0.264336 
30377392,蔡晓,002449.OF,4,民生加银基金,-0.132131244,1,6.621917808,44.69,#N/A
30000000000000022183,孙伟,002656.OF,1,南方基金,-0.100424189,1,6.619178082,19.3,#N/A
30382125,薛玲,004617.OF,4,建信基金,-0.118869244,1,5.032876712,251.6,0.198601 
30000000000000021146,吕佳玮,004640.OF,1,华夏基金,-0.241086957,1,5.391780822,386.67,0.264336 
30000000000000022071,罗文杰,004642.OF,1,南方基金,-0.262986049,1,5.356164384,10.96,0.264336 
30381160,缪玮彬,004685.OF,4,金元顺安,0.067766647,1,5.131506849,78.49,0.264336 
30000000000000206392,黄春逢,004702.OF,4,南方基金,-0.179135933,1,5.37260274,40.74,0.264336 
30382125,薛玲,004617.OF,4,建信基金,-0.263420974,1,5.032876712,189.64,0.198601 
30378692,韩威俊,004868.OF,4,交银施罗德,-0.188305253,1,5.353424658,331.47,0.641958 
30000000000000016862,刘江,001417.OF,4,汇添富基金,-0.072441099,1,7.542465753,677.02,0.264336 
30378825,宫志芳,004888.OF,4,财通证券资管,-0.044173496,1,5.339726027,542.93,0.641958 
30243537,韩浩,004936.OF,4,中航基金,-0.153254792,1,5.049315068,13.42,0.641958 
30000000000000036697,范妍,001736.OF,1,圆信永丰基金,-0.205533597,1,7.180821918,1057.9,0.641958 
30000000000000021635,梁浩,005028.OF,4,鹏华基金,-0.206486486,1,5.230136986,954.4,0.264336 
30381532,盛豪,000877.OF,4,华泰柏瑞基金,-0.210076518,1,7.221917808,4685.22,0.264336 
30381649,田汉卿,000172.OF,4,华泰柏瑞基金,-0.210076518,1,9.419178082,4685.22,0.198601 
30000000000000022104,吴剑毅,000326.OF,1,南方基金,-0.010960542,1,7.180821918,221.24,0.198601 
30382872,曾文宏,005082.OF,4,诺德基金,-0.1766,1,5.008219178,10.76,#N/A
30378264,戴杰,003889.OF,4,汇安基金,-0.223955762,1,5.956164384,220.54,0.641958 
30000000000000016591,赵耀,002717.OF,4,红塔基金,-0.163707103,1,6.580821918,66.15,0.023077 
30380233,林英睿,001763.OF,4,广发基金,-0.071364497,1,6.043835616,267.15,0.264336 
30000000000000023262,马君,005237.OF,1,银华基金,-0.229860154,1,5.145205479,27.81,0.264336 
30000000000000023262,马君,005237.OF,1,银华基金,-0.281787285,1,5.145205479,12.1,0.264336 
30381532,盛豪,000877.OF,4,华泰柏瑞基金,-0.140471906,1,7.221917808,227.58,0.264336 
30000000000000027911,梁鹏,005270.OF,4,太平基金,-0.21534777,1,5.084931507,300.08,0.264336 
30000000000000021313,王春,040005.OF,4,华安基金,-0.176388381,1,7.180821918,2467.45,0.198601 
30000000000000017177,蒋璆,040015.OF,4,华安基金,-0.188858696,1,7.547945205,257.62,0.264336 
30000000000000016012,桂征辉,001242.OF,1,博时基金,-0.091264818,1,7.452054795,5665.52,0.641958 
30000000000000015975,陈雷,000264.OF,4,博时基金,-0.233695652,1,5.81369863,381.03,0.641958 
30000000000000022086,胡涛,070099.OF,4,嘉实基金,-0.131462334,1,8.369863014,2201.46,0.264336 
30243576,杨挺,090001.OF,4,大成基金,-0.053024421,1,5.304109589,2342.73,0.024476 
30000000000000015009,杨挺,090001.OF,4,大成基金,-0.053024421,1,5.304109589,2342.73,0.024476 
30000000000000015054,李博,090004.OF,4,大成基金,-0.064963941,1,6.15890411,1767.47,#N/A
30593893,王磊,000587.OF,4,大成基金,-0.277844311,1,5.564383562,229.81,0.198601 
30000000000000015052,夏高,002236.OF,1,大成基金,-0.137931034,1,6.912328767,193.13,0.198601 
30000000000000014864,苏秉毅,090011.OF,4,大成基金,-0.152870091,1,6.830136986,135.91,0.264336 
30243576,杨挺,090001.OF,4,大成基金,-0.316443595,1,5.304109589,27.82,0.024476 
30000000000000014752,冉凌浩,000834.OF,1,大成基金,-0.036598493,1,8.136986301,260.22,0.264336 
30000000000000026898,余海燕,000950.OF,1,易方达基金,-0.222049113,1,7.945205479,4200.19,0.024476 
30000000000000019720,徐猛,000071.OF,1,华夏基金,-0.358470526,1,7.032876712,2628.45,0.198601 
30000000000000022183,孙伟,002656.OF,1,南方基金,-0.340687938,1,6.619178082,454.12,#N/A
30000000000000016766,赖中立,159912.OF,1,汇添富基金,-0.340025094,1,7.989041096,91.67,0.264336 
30000000000000018845,过蓓蓓,000248.OF,1,汇添富基金,-0.340025094,1,7.416438356,91.67,0.641958 
30382125,薛玲,004617.OF,4,建信基金,-0.234340421,1,5.032876712,208.16,0.198601 
30000000000000019720,徐猛,000071.OF,1,华夏基金,-0.082491795,1,7.032876712,2179.34,0.198601 
30000000000000014864,苏秉毅,090011.OF,4,大成基金,-0.214712919,1,6.830136986,27.18,0.264336 
30000000000000022071,罗文杰,004642.OF,1,南方基金,-0.23923445,1,5.356164384,1169.88,0.264336 
30000000000000018845,过蓓蓓,000248.OF,1,汇添富基金,-0.222079534,1,7.416438356,1570.19,0.641958 
30000000000000018845,过蓓蓓,000248.OF,1,汇添富基金,-0.251623889,1,7.416438356,94.63,0.641958 
30000000000000018845,过蓓蓓,000248.OF,1,汇添富基金,-0.246568859,1,7.416438356,12.12,0.641958 
30000000000000018845,过蓓蓓,000248.OF,1,汇添富基金,-0.200765607,1,7.416438356,30.22,0.641958 
30000000000000019333,殷瑞飞,159933.OF,1,国投瑞银基金,-0.164341963,1,9.18630137,459.23,0.024476 
