Stock,BM_Y1,BM_Y2,BM_Y3,BM_Y4,BM_Y5,MarketCap_Y1,MarketCap_Y2,MarketCap_Y3,MarketCap_Y4,MarketCap_Y5,Return_Y1,Return_Y2,Return_Y3,Return_Y4,Return_Y5
600017.SH,1.325082079,1.318746314,1.407769587,1.513284275,1.56573526,8488.804731,8950.152814,8857.883197,8642.587425,8673.343964,-0.284747423,0.061306522,-0.00051134,-0.011816667,0.016805694
600018.SH,0.629358761,0.613682285,0.826391062,0.782260823,0.903408532,120039.6347,133712.1027,105903.6932,127567.165,124337.333,-0.200332632,0.138739575,-0.181756153,0.232220569,0.009922628
600019.SH,1.221229689,1.392613149,1.391447648,1.197512782,1.56349766,144741.4483,127855.4026,132503.2135,159441.8267,124479.182,-0.208940972,-0.048131385,0.099402439,0.311709954,-0.157765084
600020.SH,1.347891238,1.22535857,1.559075561,1.680673659,1.892981563,8247.854623,9888.436061,7618.59051,7348.905891,6652.220623,-0.210194856,0.225046322,-0.217988636,-0.024787611,-0.066377982
600021.SH,0.750114992,0.904605979,1.052409885,0.525553966,0.754858798,21199.03,21068.17179,18634.20908,33552.04501,28195.60389,-0.092161926,0.032685802,-0.099784348,0.828650562,-0.219188768
600022.SH,1.173430829,1.325450077,1.350053973,1.119025831,1.37926147,17186.0829,15653.56595,15653.56595,19594.32381,15834.29734,-0.26635514,-0.089171975,0,0.281414685,-0.143667039
600023.SH,0.951255299,1.191395579,1.374272482,1.163528725,1.309603529,64331.26364,53858.73235,49370.50466,54946.78755,46796.47729,-0.082663977,-0.128465116,-0.033008333,0.18584573,-0.136138614
600025.SH,0.780538337,0.724100666,0.767501294,0.542602753,0.570233733,56700,75960,80280,118620,118800,-0.394843396,0.388580952,0.102740284,0.519689462,0.026455235
600026.SH,1.699518242,1.294393686,1.307256751,1.207909538,0.647016083,16588.00673,21728.11529,26484.33638,23669.85647,48793.96952,-0.265586275,0.441247748,0.05257116,-0.084792814,1.035472973
600027.SH,1.182424648,1.785595459,2.362500593,1.277731322,1.12519554,44003.65899,34448.13701,30513.84673,48390.17634,52892.10176,0.285572776,-0.214156421,-0.036419619,0.696107353,0.162481495
600028.SH,1.182418013,1.241283869,1.615421071,1.615030013,1.576968512,607530.4945,595487.4775,459609.58,479930.3998,498156.4272,-0.105452359,0.085977888,-0.159817824,0.117865186,0.149309358
600029.SH,0.894254058,0.808770267,0.84049489,0.658842648,0.332450755,72689.63383,78963.09073,82506.15302,102628.4504,123497.9899,-0.435432886,0.088570181,-0.169916435,0.14261745,0.116005874
600030.SH,0.830187264,0.566702454,0.524296214,0.655436853,0.904498918,184465.3319,285202.945,346582.8354,319132.7012,279843.4381,-0.093179448,0.604756402,0.180532016,-0.086878741,-0.178288201
600031.SH,0.483951817,0.309192994,0.190716885,0.328929289,0.484117778,65057.93326,143667.4985,296578.1655,193631.0026,134193.9191,-0.064025799,1.084842926,1.089978065,-0.333989708,-0.288653509
600032.SH,0,0,0,0.239736798,0.360952132,0,0,0,32156.8,23899.2,0,0,0,3.404558405,-0.254487775
600033.SH,1.115522593,1.128831027,1.368232069,1.35303191,1.355240422,8150.868,8425.308,7217.772,7739.208,7958.76,-0.15643863,0.080908754,-0.127816612,0.113524715,0.083900709
