Stock,证券名称,Return_Y1,Return_Y2,Return_Y3,Return_Y4,Return_Y5,MarketCap_Y1,MarketCap_Y2,MarketCap_Y3,MarketCap_Y4,MarketCap_Y5,PB_Y1,PB_Y2,PB_Y3,PB_Y4,PB_Y5
837242.BJ,建邦科技,0,0,-47.75,40.39,-32.02,284.26,311.8,200.1,0,0,0.02,0.02,0.02,0.01,0.02
837344.BJ,三元基因,0,0,0,11.25,-38.22,1932.8,871.48,0,0,0,0.03,0.02,0.01,0.09,0.06
837663.BJ,明阳科技,0,0,0,0,0,0,0,0,0,0,0.03,0.02,0.02,0.05,0.06
837821.BJ,则成电子,0,0,0,0,-39.08,136.64,0,0,0,0,0,0,0,0.1,0.14
838030.BJ,德众汽车,0,0,-34.66,91.09,-46.56,222.75,490.64,146.15,0,0,0.01,0.02,0.03,0.02,0.02
838163.BJ,方大新材,0,0,-37.71,23.42,-31.79,325.56,268.23,225.06,0,0,0.07,0.05,0.04,0.02,0.03
838171.BJ,邦德股份,0,0,0,0,28.34,240.01,0,0,0,0,0,0.02,0.02,0.03,0.12
838227.BJ,美登科技,0,0,0,0,-100,167.13,0,0,0,0,0.01,0,0,0,0
838262.BJ,太湖雪,0,0,0,0,-100,139.04,0,0,0,0,0,0,0,0.01,0.05
838275.BJ,驱动力,0,0,0,122.93,-50.97,289.94,328.93,0,0,0,0,0,0.03,0.03,0.05
838402.BJ,硅烷科技,0,0,0,0,3179.93,923.38,0,0,0,0,0,0,0,0.19,0.19
838670.BJ,恒进感应,0,0,0,0,-24,258.72,0,0,0,0,0,0.07,0.01,0.05,0.32
838810.BJ,春光药装,0,0,0,0,-98.43,189.53,0,0,0,0,0.04,0.03,0.02,0.01,0.03
838924.BJ,广脉科技,0,0,0,7660.65,-49.84,280.14,423.58,0,0,0,0.06,0.02,0.08,0.04,0.06
838971.BJ,天马新材,0,0,0,0,-66.17,242.77,0,0,0,0,0.02,0.02,0.01,0.01,0.09
839167.BJ,同享科技,0,0,1115.73,27.83,-36.82,771.94,1241.85,363.38,0,0,0,0.02,0.02,0.06,0.07
839273.BJ,一致魔芋,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0.03,0.04,0.07
839371.BJ,欧福蛋业,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
839680.BJ,广道数字,0,0,0,4504.12,-37.38,469.3,736.07,0,0,0,0,0.03,0.03,0.02,0.04
839725.BJ,惠丰钻石,0,0,0,0,62.16,383.75,0,0,0,0,0,0,0,0.01,0.13
839729.BJ,永顺生物,0,0,82.2,40.34,-45.02,647.57,1211.69,869.16,0,0,0.04,0.02,0.03,0.05,0.06
839790.BJ,联迪信息,0,0,0,0,-67.2,109.81,0,0,0,0,0.06,0.05,0.02,0.06,0.05
839792.BJ,东和新材,0,0,0,0,0,0,0,0,0,0,0.01,0.02,0.04,0.02,0.02
839946.BJ,华阳变速,0,0,0,204.67,-50.55,239.84,332.48,0,0,0,0.04,0.03,0.05,0.04,0.03
